file_name;transcription;audio;language;emotion
f_dis202aen;And before today, you had never heard of me?;data/wav_corpus/f_dis202aen.wav;english;disgust
f_dis204aen;Has she died or something?;data/wav_corpus/f_dis204aen.wav;english;disgust
f_dis205aen;One time an assistant left the desk because she sliced her hand open with a letter opener.;data/wav_corpus/f_dis205aen.wav;english;disgust
f_dis901aen;Oh you'd have saved your heads being chopped off by the Romans, that's true.;data/wav_corpus/f_dis901aen.wav;english;disgust
f_dis902aen;So you both would have lied to the point of denying Christ?;data/wav_corpus/f_dis902aen.wav;english;disgust
f_gio009aen;I just want you to come to California with me.;data/wav_corpus/f_gio009aen.wav;english;happiness
f_gio011aen;Congratulations on your unfettered ascendancy at Wyant Wheeler.;data/wav_corpus/f_gio011aen.wav;english;happiness
f_gio012aen;Oh thank you Miss Burton, now ;data/wav_corpus/f_gio012aen.wav;english;happiness
f_gio012ben;Take that note under consideration.;data/wav_corpus/f_gio012ben.wav;english;happiness
f_gio014aen;Well that's a big surprise. ;data/wav_corpus/f_gio014aen.wav;english;happiness
f_gio016aen;I'm not a psycho.;data/wav_corpus/f_gio016aen.wav;english;happiness
f_gio017aen;She didn't call me Emily, isn't that great?;data/wav_corpus/f_gio017aen.wav;english;happiness
f_gio030aen;It is you.;data/wav_corpus/f_gio030aen.wav;english;happiness
f_gio034aen;Clearer than that.;data/wav_corpus/f_gio034aen.wav;english;happiness
f_gio040aen;One night he climbed over the bar and offered to teach me how to make them.;data/wav_corpus/f_gio040aen.wav;english;happiness
f_gio045aen;This is wonderful.;data/wav_corpus/f_gio045aen.wav;english;happiness
f_gio049aen;I told them I had to spend the evening with him.;data/wav_corpus/f_gio049aen.wav;english;happiness
f_gio049ben;Britain's premier equestrian journalist.;data/wav_corpus/f_gio049ben.wav;english;happiness
f_gio101aen;It's just hot in here, that's all.;data/wav_corpus/f_gio101aen.wav;english;happiness
f_gio120aen;Oh, I thought you meant the judge! ;data/wav_corpus/f_gio120aen.wav;english;happiness
f_gio123aen;Thanks a lot!;data/wav_corpus/f_gio123aen.wav;english;happiness
f_gio125aen;Will you relax? I know it's a big deal day.;data/wav_corpus/f_gio125aen.wav;english;happiness
f_gio126aen;Oh that's all.;data/wav_corpus/f_gio126aen.wav;english;happiness
f_gio133aen;I thought you might be in the middle of some tempestuous romance.;data/wav_corpus/f_gio133aen.wav;english;happiness
f_gio144aen;Happy Birthday! ;data/wav_corpus/f_gio144aen.wav;english;happiness
f_gio162aen;No   yeah!;data/wav_corpus/f_gio162aen.wav;english;happiness
f_gio202aen;Do you write about Sister Drummond?;data/wav_corpus/f_gio202aen.wav;english;happiness
f_gio203aen;Do you write about me?;data/wav_corpus/f_gio203aen.wav;english;happiness
f_gio204aen;Can I look?;data/wav_corpus/f_gio204aen.wav;english;happiness
f_gio206aen;It's nice.;data/wav_corpus/f_gio206aen.wav;english;happiness
f_gio207aen;Is that such a bad thing boss?;data/wav_corpus/f_gio207aen.wav;english;happiness
f_gio208aen;I gotta agree I am embarrassing myself.;data/wav_corpus/f_gio208aen.wav;english;happiness
f_gio209aen;Thirty-one until my next birthday.;data/wav_corpus/f_gio209aen.wav;english;happiness
f_gio210aen;Beautiful.;data/wav_corpus/f_gio210aen.wav;english;happiness
f_gio211aen;I love London.;data/wav_corpus/f_gio211aen.wav;english;happiness
f_gio212aen;What's it mean?;data/wav_corpus/f_gio212aen.wav;english;happiness
f_gio214aen; wait until he got around to it.;data/wav_corpus/f_gio214aen.wav;english;happiness
f_gio999ben;I seem to be in some strange sort of mood.;data/wav_corpus/f_gio999ben.wav;english;happiness
f_rab003aen;Where are you?;data/wav_corpus/f_rab003aen.wav;english;anger
f_rab007aen;My two little daughters singing stupid fucking songs from those stupid fucking commercials.;data/wav_corpus/f_rab007aen.wav;english;anger
f_rab008aen;No such obligation!;data/wav_corpus/f_rab008aen.wav;english;anger
f_rab009aen;Everywhere I am attended by doctors who inform me of my own interests!;data/wav_corpus/f_rab009aen.wav;english;anger
f_rab010aen;I'm dying in this town.;data/wav_corpus/f_rab010aen.wav;english;anger
f_rab012aen;The entire British press got up this morning and thought: 'I know where Anna Scott is'.;data/wav_corpus/f_rab012aen.wav;english;anger
f_rab012ben;She's in that house with the blue door in Notting Hill.;data/wav_corpus/f_rab012ben.wav;english;anger
f_rab012cen;In your goddamn underwear.;data/wav_corpus/f_rab012cen.wav;english;anger
f_rab013aen;I come to you to protect myself against more crappy gossip and now I've just landed in it all over again.;data/wav_corpus/f_rab013aen.wav;english;anger
f_rab013ben;For God's sake, I've got a boyfriend.;data/wav_corpus/f_rab013ben.wav;english;anger
f_rab014aen;And now tomorrow there'll be pictures of you in every newspapers from here to Timbuktu.;data/wav_corpus/f_rab014aen.wav;english;anger
f_rab015aen;All right, this is the perfect situation for you, isn't it?;data/wav_corpus/f_rab015aen.wav;english;anger
f_rab015ben;Minimum input, maximum publicity.;data/wav_corpus/f_rab015ben.wav;english;anger
f_rab015cen;Everywhere you go people will say: 'Oh well done, you've slept with that actress'.;data/wav_corpus/f_rab015cen.wav;english;anger
f_rab015den;We saw the picture.;data/wav_corpus/f_rab015den.wav;english;anger
f_rab027aen;What is your obsession with this money?;data/wav_corpus/f_rab027aen.wav;english;anger
f_rab029aen;You're afraid that I won't love you back.;data/wav_corpus/f_rab029aen.wav;english;anger
f_rab037aen;You realize this is probably the most valuable thing we own.;data/wav_corpus/f_rab037aen.wav;english;anger
f_rab042aen;I want to know when the hell you're coming home, now!;data/wav_corpus/f_rab042aen.wav;english;anger
f_rab064aen;You leave her alone!;data/wav_corpus/f_rab064aen.wav;english;anger
f_rab068aen;Change on the inside!;data/wav_corpus/f_rab068aen.wav;english;anger
f_rab068ben;Take chances, make mistakes.;data/wav_corpus/f_rab068ben.wav;english;anger
f_rab069aen;Yes! Sometimes it's important not to be perfect, okay? It's important to do the wrong thing.;data/wav_corpus/f_rab069aen.wav;english;anger
f_rab070aen;No, to make them.;data/wav_corpus/f_rab070aen.wav;english;anger
f_rab070ben;To find out what's real and what's not. To find out what you feel.;data/wav_corpus/f_rab070ben.wav;english;anger
f_rab082aen;No boxing out of the house. All right?;data/wav_corpus/f_rab082aen.wav;english;anger
f_rab082ben;No boxing. Period!;data/wav_corpus/f_rab082ben.wav;english;anger
f_rab083aen;You're gonna stay in school.;data/wav_corpus/f_rab083aen.wav;english;anger
f_rab083ben;And then you're gonna go to college and you're gonna have professions.;data/wav_corpus/f_rab083ben.wav;english;anger
f_rab083cen;Because you're not gonna have your skulls smashed in too!;data/wav_corpus/f_rab083cen.wav;english;anger
f_rab084aen;Do you understand me?;data/wav_corpus/f_rab084aen.wav;english;anger
f_rab084ben;Is that clear?;data/wav_corpus/f_rab084ben.wav;english;anger
f_rab087aen;But you find a way out of that fight. Break your hand again if you have to.;data/wav_corpus/f_rab087aen.wav;english;anger
f_rab089cen;Well I got scared and I didn't say anything. And ten seconds later I had a gun in my face.;data/wav_corpus/f_rab089cen.wav;english;anger
f_rab090ben;And this time it'd be really fucking great if you acted like you actually gave a shit.;data/wav_corpus/f_rab090ben.wav;english;anger
f_rab092aen;Do you have any idea how that felt?;data/wav_corpus/f_rab092aen.wav;english;anger
f_rab092ben;To have that pig's hands all over me.;data/wav_corpus/f_rab092ben.wav;english;anger
f_rab098aen;It doesn't make sense that you are sitting here doing this all day long.;data/wav_corpus/f_rab098aen.wav;english;anger
f_rab099aen;The case is over.;data/wav_corpus/f_rab099aen.wav;english;anger
f_rab102aen;Bullshit John, it is splashed all over you. It's gonna follow you around forever.;data/wav_corpus/f_rab102aen.wav;english;anger
f_rab104aen;But that seems hard for you.;data/wav_corpus/f_rab104aen.wav;english;anger
f_tri002aen;I could have stopped him.;data/wav_corpus/f_tri002aen.wav;english;sadness
f_tri004aen;I was aware that he would sometimes ;data/wav_corpus/f_tri004aen.wav;english;sadness
f_tri004ben;Wake up.;data/wav_corpus/f_tri004ben.wav;english;sadness
f_tri005aen;Crawl out of bed.;data/wav_corpus/f_tri005aen.wav;english;sadness
f_tri005ben;And walk about.;data/wav_corpus/f_tri005ben.wav;english;sadness
f_tri006aen;He could open the baby gate.;data/wav_corpus/f_tri006aen.wav;english;sadness
f_tri009aen;Will this just go on and on?;data/wav_corpus/f_tri009aen.wav;english;sadness
f_tri032cen;Those things.;data/wav_corpus/f_tri032cen.wav;english;sadness
f_tri039aen;Briony, there isn't much time.;data/wav_corpus/f_tri039aen.wav;english;sadness
f_tri039ben;Robbie has to report for duty at six.;data/wav_corpus/f_tri039ben.wav;english;sadness
f_tri039cen;And he's got a train to catch.;data/wav_corpus/f_tri039cen.wav;english;sadness
f_tri040aen;I'm very, very sorry.;data/wav_corpus/f_tri040aen.wav;english;sadness
f_tri040ben;For the terrible distress that I've caused.;data/wav_corpus/f_tri040ben.wav;english;sadness
f_tri040cen;I'm very, very sorry.;data/wav_corpus/f_tri040cen.wav;english;sadness
f_tri046aen;He said that if you said that ;data/wav_corpus/f_tri046aen.wav;english;sadness
f_tri046ben;He has commitment papers for me to sign.;data/wav_corpus/f_tri046ben.wav;english;sadness
f_tri047aen;Would you have hurt me, John?;data/wav_corpus/f_tri047aen.wav;english;sadness
f_tri049aen;But my, my girls, I just ;data/wav_corpus/f_tri049aen.wav;english;sadness
f_tri055aen;It's great here, it's really great. ;data/wav_corpus/f_tri055aen.wav;english;sadness
f_tri055ben;I don't know, I went to this shrine today.;data/wav_corpus/f_tri055ben.wav;english;sadness
f_tri056aen;There were these monks and they were chanting.;data/wav_corpus/f_tri056aen.wav;english;sadness
f_tri056ben;And  I didn't feel anything.;data/wav_corpus/f_tri056ben.wav;english;sadness
f_tri057aen;Nothing, it's okay. I'll call you later, okay?;data/wav_corpus/f_tri057aen.wav;english;sadness
f_tri071aen;Do I make her proud?;data/wav_corpus/f_tri071aen.wav;english;sadness
f_tri081aen;Jim, you didn't see.;data/wav_corpus/f_tri081aen.wav;english;sadness
f_tri081ben;You weren't here.;data/wav_corpus/f_tri081ben.wav;english;sadness
f_tri091ben;You would take me there with you.;data/wav_corpus/f_tri091ben.wav;english;sadness
f_tri094aen;I only wish I were part of it.;data/wav_corpus/f_tri094aen.wav;english;sadness
f_tri095ben;Then we must end this.;data/wav_corpus/f_tri095ben.wav;english;sadness
f_tri096aen;Without that family, you could never have written anything like this.;data/wav_corpus/f_tri096aen.wav;english;sadness
f_tri096ben;You need them.;data/wav_corpus/f_tri096ben.wav;english;sadness
m_ans001aen;It just bled like hell.;data/wav_corpus/m_ans001aen.wav;english;fear
m_ans002aen;This guy tried to mug me and I swung on him and he sliced me.;data/wav_corpus/m_ans002aen.wav;english;fear
m_ans003aen;So I'm walking to my car.;data/wav_corpus/m_ans003aen.wav;english;fear
m_ans003ben;I say I don't smoke. He says neither does he.;data/wav_corpus/m_ans003ben.wav;english;fear
m_ans003cen;My heart starts clocking a buck fifty because there is no one around but me and him.;data/wav_corpus/m_ans003cen.wav;english;fear
m_ans007aen;The mugger! I see how your mind's working.;data/wav_corpus/m_ans007aen.wav;english;fear
m_ans007ben;I come home with blood on me the same night Katie's murdered.;data/wav_corpus/m_ans007ben.wav;english;fear
m_ans007cen;I must have killed her, right?;data/wav_corpus/m_ans007cen.wav;english;fear
m_ans008aen;I can't trust my mind anymore, Celeste. I'm warning you.;data/wav_corpus/m_ans008aen.wav;english;fear
m_ans013aen;I don't know.;data/wav_corpus/m_ans013aen.wav;english;fear
m_ans014aen;My name is Very Fucking Confused. What's your name?;data/wav_corpus/m_ans014aen.wav;english;fear
m_ans014ben;What's going on here?;data/wav_corpus/m_ans014ben.wav;english;fear
m_ans015ben;I went to bed in my shithole apartment and woke up in an actual shithole.;data/wav_corpus/m_ans015ben.wav;english;fear
m_ans016aen;This is what they do man. They kidnap you and drug you.;data/wav_corpus/m_ans016aen.wav;english;fear
m_ans016ben;Before you know it, you're lying in a bathtub and your kidneys are on eBay.;data/wav_corpus/m_ans016ben.wav;english;fear
m_ans017aen;I'm not gonna risk breaking it. You throw me your tape!;data/wav_corpus/m_ans017aen.wav;english;fear
m_ans018aen;Probably a joke, right?;data/wav_corpus/m_ans018aen.wav;english;fear
m_ans020aen;Who is that?!;data/wav_corpus/m_ans020aen.wav;english;fear
m_ans020ben;Who's in there?!;data/wav_corpus/m_ans020ben.wav;english;fear
m_ans020cen;Come out!;data/wav_corpus/m_ans020cen.wav;english;fear
m_ans020den;I'll kill you, you motherfucker!;data/wav_corpus/m_ans020den.wav;english;fear
m_ans021aen;Who is this?;data/wav_corpus/m_ans021aen.wav;english;fear
m_ans022aen;Yeah baby, it's me. I'm here.;data/wav_corpus/m_ans022aen.wav;english;fear
m_ans030aen;With all due respect, this is preposterous! It doesn't make any sense!;data/wav_corpus/m_ans030aen.wav;english;fear
m_ans101aen;What is that smell?;data/wav_corpus/m_ans101aen.wav;english;fear
m_ans103aen;I need you!;data/wav_corpus/m_ans103aen.wav;english;fear
m_ans103cen;Lawrence, get up!;data/wav_corpus/m_ans103cen.wav;english;fear
m_ans104aen;Thank God! I thought you were dead!;data/wav_corpus/m_ans104aen.wav;english;fear
m_ans105aen;I told you. The same thing happened to me, see?;data/wav_corpus/m_ans105aen.wav;english;fear
m_ans105ben;I wasn't lying, see?;data/wav_corpus/m_ans105ben.wav;english;fear
m_ans107aen;Help! Someone help me!;data/wav_corpus/m_ans107aen.wav;english;fear
m_ans123aen;Probably dead.;data/wav_corpus/m_ans123aen.wav;english;fear
m_ans124aen;Who's that?;data/wav_corpus/m_ans124aen.wav;english;fear
m_ans124ben;Who's that?;data/wav_corpus/m_ans124ben.wav;english;fear
m_ans150aen;Lawrence, get up!;data/wav_corpus/m_ans150aen.wav;english;fear
m_dis001aen;You know it's like saying: 'It's not a riot, it's rage. It's not crime, it's poverty.';data/wav_corpus/m_dis001aen.wav;english;disgust
m_dis002aen;Look at this sorry, miserable, squashed thing.;data/wav_corpus/m_dis002aen.wav;english;disgust
m_dis002ben;Can anybody tell me what's wrong with this picture?;data/wav_corpus/m_dis002ben.wav;english;disgust
m_dis003aen;Well, , let's see.;data/wav_corpus/m_dis003aen.wav;english;disgust
m_dis003ben;On my sixth birthday, my best friend at the time, Scott Tibbs, stabbed me with a rusty nail.;data/wav_corpus/m_dis003ben.wav;english;disgust
m_dis004aen;What I saw was you get into your car. That's it.;data/wav_corpus/m_dis004aen.wav;english;disgust
m_dis004cen;I don't know how I got here, I don't know how you got here.;data/wav_corpus/m_dis004cen.wav;english;disgust
m_dis005aen;Really? Obviously this cop thinks you are the one behind it all.;data/wav_corpus/m_dis005aen.wav;english;disgust
m_dis008ben;I keep regular office hours if there's any further information you might need on sayings, common phrases ;data/wav_corpus/m_dis008ben.wav;english;disgust
m_dis008cen;My door's wide open.;data/wav_corpus/m_dis008cen.wav;english;disgust
m_dis011aen;Well, I'll make a note of it. Anything else I can do for you?;data/wav_corpus/m_dis011aen.wav;english;disgust
m_dis013aen;You include me out. I've had enough of the convocations.;data/wav_corpus/m_dis013aen.wav;english;disgust
m_dis014aen;And it seems you do too.;data/wav_corpus/m_dis014aen.wav;english;disgust
m_dis015aen;Mother, I'm a very busy man.;data/wav_corpus/m_dis015aen.wav;english;disgust
m_dis015ben;I do not have time to help  it pursue some ridiculous lawsuit.;data/wav_corpus/m_dis015ben.wav;english;disgust
m_dis016aen;Well, that's mutation, Mother. The miracle of genetics is I'm not you.;data/wav_corpus/m_dis016aen.wav;english;disgust
m_dis017aen;So you'd be gone for quite a long time.;data/wav_corpus/m_dis017aen.wav;english;disgust
m_dis018ben;I live with you. I know how much you study, or I should say don't study. And you do better than me.;data/wav_corpus/m_dis018ben.wav;english;disgust
m_dis020aen;I will save lives that could have otherwise not been saved.;data/wav_corpus/m_dis020aen.wav;english;disgust
m_dis021aen;You know, maybe I am. But you ask the average person ;data/wav_corpus/m_dis021aen.wav;english;disgust
m_dis021ben;When death comes knocking at their door  whether they want a prick on their side.;data/wav_corpus/m_dis021ben.wav;english;disgust
m_dis023ben;Is it because your father was a doctor and his father was a doctor, some sort of genetic thing?;data/wav_corpus/m_dis023ben.wav;english;disgust
m_dis027ben;People are good. Trust people?;data/wav_corpus/m_dis027ben.wav;english;disgust
m_dis031ben;Maybe you got a bunch of fat and happy fighters at home  can afford to rest a month between bouts. I don't know. Lucky you! ;data/wav_corpus/m_dis031ben.wav;english;disgust
m_dis035aen;Saddam. His, his name's Saddam? Well that's, that's real good Bruce.;data/wav_corpus/m_dis035aen.wav;english;disgust
m_dis044aen;I misplaced an important complaint. That's their story.;data/wav_corpus/m_dis044aen.wav;english;disgust
m_dis044ben;Wanna hear mine?;data/wav_corpus/m_dis044ben.wav;english;disgust
m_gio001aen;He's an idiot.;data/wav_corpus/m_gio001aen.wav;english;happiness
m_gio001ben;He's always been an idiot.;data/wav_corpus/m_gio001ben.wav;english;happiness
m_gio002aen;Great. Thanks.;data/wav_corpus/m_gio002aen.wav;english;happiness
m_gio002ben;Wish me luck.;data/wav_corpus/m_gio002ben.wav;english;happiness
m_gio003aen;On for a video fest tonight?;data/wav_corpus/m_gio003aen.wav;english;happiness
m_gio003ben;I got some absolute classics.;data/wav_corpus/m_gio003ben.wav;english;happiness
m_gio005aen;Come on, one dance!;data/wav_corpus/m_gio005aen.wav;english;happiness
m_gio010aen;You told me every other fucking thing.;data/wav_corpus/m_gio010aen.wav;english;happiness
m_gio014aen;Everybody has their own idea of what they think paradise is. ;data/wav_corpus/m_gio014aen.wav;english;happiness
m_gio018aen;Relax, it's okay. There is no point in being nuts if you can't have a little fun.;data/wav_corpus/m_gio018aen.wav;english;happiness
m_gio022aen;Gee, I love you guys.;data/wav_corpus/m_gio022aen.wav;english;happiness
m_gio023aen;For the first time in eighteen years I'm going to be able to call the shots in my own life. Oh my God!;data/wav_corpus/m_gio023aen.wav;english;happiness
m_gio034aen;Well, as often as they can.;data/wav_corpus/m_gio034aen.wav;english;happiness
m_gio041aen;Jesus H. Christ!;data/wav_corpus/m_gio041aen.wav;english;happiness
m_gio041ben;Jesus, Mary and Joseph!;data/wav_corpus/m_gio041ben.wav;english;happiness
m_gio046aen;You know, I might as well get an Ahooga horn and chase him around the ring.;data/wav_corpus/m_gio046aen.wav;english;happiness
m_gio049aen;You think because of that, the audience won't recognize him as being a black man?;data/wav_corpus/m_gio049aen.wav;english;happiness
m_gio058aen;Mr. Wheeler, you are magnificent.;data/wav_corpus/m_gio058aen.wav;english;happiness
m_gio062aen;I get your logic. Demi-capu coming right up.;data/wav_corpus/m_gio062aen.wav;english;happiness
m_gio100aen;That's some of the best shit I've ever heard come out of your mouth.;data/wav_corpus/m_gio100aen.wav;english;happiness
m_gio101aen;Give the guy a break.;data/wav_corpus/m_gio101aen.wav;english;happiness
m_gio102aen;I don't know. The girls like it.;data/wav_corpus/m_gio102aen.wav;english;happiness
m_gio103aen;Is that any way to talk to a guest? A friend of the family?;data/wav_corpus/m_gio103aen.wav;english;happiness
m_gio105aen;Fucking A. Back from the dead.;data/wav_corpus/m_gio105aen.wav;english;happiness
m_gio106aen;Fifty fucking pounds, man.;data/wav_corpus/m_gio106aen.wav;english;happiness
m_gio107aen;I'm telling you, man, this kid is awesome as hell.;data/wav_corpus/m_gio107aen.wav;english;happiness
m_gio108aen;I lost count, man.;data/wav_corpus/m_gio108aen.wav;english;happiness
m_gio108ben;Doesn't matter, man.;data/wav_corpus/m_gio108ben.wav;english;happiness
m_gio111aen;Make that second most beautiful invention!;data/wav_corpus/m_gio111aen.wav;english;happiness
m_gio129aen;I'd feel a bit of a fool handing it over myself.;data/wav_corpus/m_gio129aen.wav;english;happiness
m_gio130aen; I just use it for clean-up.;data/wav_corpus/m_gio130aen.wav;english;happiness
m_gio135aen; I gotta go see about a girl.;data/wav_corpus/m_gio135aen.wav;english;happiness
m_gio140aen;Everybody has their own idea of what they think paradise is. ;data/wav_corpus/m_gio140aen.wav;english;happiness
m_gio140ben;The wife thinks it's paradise.;data/wav_corpus/m_gio140ben.wav;english;happiness
m_gio144aen;So I shared that with you.;data/wav_corpus/m_gio144aen.wav;english;happiness
m_gio144ben;And one night it was so loud it woke the dog up.;data/wav_corpus/m_gio144ben.wav;english;happiness
m_gio145aen;Well, like I say, they make me ask. You understand.;data/wav_corpus/m_gio145aen.wav;english;happiness
m_rab002aen;A walk!;data/wav_corpus/m_rab002aen.wav;english;anger
m_rab002ben;Is that all? Just a walk.;data/wav_corpus/m_rab002ben.wav;english;anger
m_rab005den;You've tried to kill yourself twice.;data/wav_corpus/m_rab005den.wav;english;anger
m_rab006aen;It was done for you!;data/wav_corpus/m_rab006aen.wav;english;anger
m_rab006ben;It was done for your betterment!;data/wav_corpus/m_rab006ben.wav;english;anger
m_rab006cen;It was done out of love!;data/wav_corpus/m_rab006cen.wav;english;anger
m_rab010ben;And it fucking pisses me off!;data/wav_corpus/m_rab010ben.wav;english;anger
m_rab021aen;Shut the fuck up!;data/wav_corpus/m_rab021aen.wav;english;anger
m_rab021ben;This is my daughter I'm talking about!;data/wav_corpus/m_rab021ben.wav;english;anger
m_rab021cen;Everybody shut up!;data/wav_corpus/m_rab021cen.wav;english;anger
m_rab021den;Shut up!;data/wav_corpus/m_rab021den.wav;english;anger
m_rab022aen;Why the hell did you think I was there?;data/wav_corpus/m_rab022aen.wav;english;anger
m_rab027aen;Tell me, I'm asking: 'What is there to understand?';data/wav_corpus/m_rab027aen.wav;english;anger
m_rab050aen;Why do you think he does that, Gerry? Do you have any fucking clue why?;data/wav_corpus/m_rab050aen.wav;english;anger
m_rab055aen;It's not about you, you mathematical dick!;data/wav_corpus/m_rab055aen.wav;english;anger
m_rab055den;He is a good kid!;data/wav_corpus/m_rab055den.wav;english;anger
m_rab064aen;Did you hear me? Shut up!;data/wav_corpus/m_rab064aen.wav;english;anger
m_rab067aen;Now you either tell me what is really going on or I'll cut you with this, you hear me? I'll cut ;data/wav_corpus/m_rab067aen.wav;english;anger
m_rab070aen;Well then don't keep me in the dark about what you're thinking!;data/wav_corpus/m_rab070aen.wav;english;anger
m_rab072aen;Does that mean you saw what happened to me?;data/wav_corpus/m_rab072aen.wav;english;anger
m_rab084aen;You goddamn well should!;data/wav_corpus/m_rab084aen.wav;english;anger
m_rab085aen;Yes!;data/wav_corpus/m_rab085aen.wav;english;anger
m_rab087aen;I don't care if you love him!;data/wav_corpus/m_rab087aen.wav;english;anger
m_rab087ben;I'm telling you!;data/wav_corpus/m_rab087ben.wav;english;anger
