file_name;transcription;language;emotion;model_transcription;model_emotion;model_emotion_nowhisper
f_tri002ait;Havrei potuto fermarlo.;italian;negative; Avrei potuto fermarlo.;negative;negative
f_tri004bit;Si svegliava.;italian;negative; Si svegliava.;negative;negative
f_tri005ait;E saltava giù dal latto.;italian;negative; e saltava giù dal lato.;negative;negative
f_tri005bit;Se ne andava in giro.;italian;negative; se ne andava ingeri.;negative;negative
f_tri006ait;Si svegliava.;italian;negative; Sì, svegliava.;negative;negative
f_tri007ait;Ed era confuso.;italian;negative; E era confuso.;negative;negative
f_tri007bit; lo sono.;italian;negative; Sì, lo so, no.;negative;positive
f_tri008ait;Voglio morire anche io.;italian;negative; Valle morire anche;negative;negative
f_tri014ait;Io che credevo di essere incinta.;italian;negative; E io che credo di essere intinta.;negative;negative
f_tri017ait;Una caramella ce l’ha?;italian;negative; Una caramella ce l'ha.;positive;negative
f_tri018ait;Mami ti manda milioni e milioni di baci.;italian;negative; Mami ti manda milioni e milioni di baci.;positive;positive
f_tri023ait;Tranne l’unica cosa che volevo.;italian;negative; l'unica cosa che volevo.;positive;negative
f_tri027ait;Se mai sono preoccupata per Greg se è una cosa che se lui non c’è la fa.;italian;negative; Se mai sono preoccupata per Riker, una cosa così linda non ce la fa!;negative;negative
f_tri032ait;Al fatto che Katy é morta.;italian;negative; al fatto che ti amore;positive;negative
f_tri032bit;Ai poveri Anabet e Jimmy ecco.;italian;negative; Ai, poveriana, a Bettegimi, ecco!;positive;negative
f_tri033ait;Ho preso Michael ieri sera.;italian;negative; ho preso mai con le ricette.;negative;positive
f_tri033bit;E sono andata in un Hotel.;italian;negative; e sono andata in un mochile.;negative;negative
f_tri034ait;Non lo so Jimmy.;italian;negative; non lo sorgiamo.;negative;negative
f_tri040ait;Mi dispiace davvero.;italian;negative; Mi dispiace davvero.;negative;negative
f_tri040bit;Per le sofferenze terribili che vi ho procurato.;italian;negative; per le sofferenze terribili che vi ho procurato.;negative;negative
f_tri040cit;Davvero mi dispiace davvero.;italian;negative; Davvero, mi dispiace davvero.;negative;negative
f_tri041ait;Tutto mi dispiace.;italian;negative; Anche a me dispiace;negative;negative
f_tri043ait;Non sono mai stati aperti.;italian;negative; non sono mai state aperti.;negative;negative
f_tri043bit;Non esiste niente.;italian;negative; Non esiste niente.;negative;negative
f_tri043cit;Non cè nessuna cospirazione John.;italian;negative; Non c'è nessuna cospirazione, già.;negative;negative
f_tri044ait;Non c’è nessun William Parker. ;italian;negative; Non c'è nessun William Parcell.;negative;negative
f_tri044bit;Non è reale, è solo nella tua mente.;italian;negative; Non è reale, è solo nella tua mente.;negative;negative
f_tri045bit;Sei malato.;italian;negative; Sei malato!;negative;negative
f_tri045cit;Sei malato John.;italian;negative; Sei malato, John.;negative;negative
f_tri046ait;Ha detto che se tu avessi detto questo …;italian;negative; ha detto che se tu avessi detto questo.;negative;negative
f_tri046bit;Ha dei documenti per il ricovero coatto da farmi firmare.;italian;negative; ha dei documenti per il ricovero 4 da farmi firmare.;negative;positive
f_tri049ait;Peró le mie, le mie figlie.;italian;negative; Però le mie... le mie fine...;negative;positive
f_tri049bit;È così ingiusto per le babine ;italian;negative; così ingiusto per le bambine e diciamo;negative;negative
f_tri052ait;Comunque non ho …;italian;negative; Comunque no.;negative;negative
f_tri052bit;Ma in parte molto di quello che scrivono su di me.;italian;negative; Non mi importa molto di quello che scrivono su di me.;negative;negative
f_tri054ait;Un’alta delusione.;italian;negative; Un'altra diluzione.;negative;negative
f_tri054cit;Che se ne va.;italian;negative; che c'è nemmeno;negative;negative
f_tri055ait;Fantastica, sì davvero fantastica.;italian;negative; Fantastico, davvero fantastico!;positive;positive
f_tri056ait;C'erano questi monaci che cantavano.;italian;negative; C'erano questi monaci che cantavano.;negative;negative
f_tri056bit;Ma non mi sono imozionata per niente.;italian;negative; Ma non mi sono emozionata per niente.;negative;negative
f_tri056cit;Capisci?;italian;negative; Capisce?;negative;negative
f_tri057ait;Niente di più importante. Ti richiamo dopo. Va bene?;italian;negative; Niente di importante, ti richiamo dopo, va bene?;positive;positive
f_tri071ait;Fiera di tutto ciò che faccio.;italian;negative; Sì, fiamme, ti coloca fatta.;negative;positive
m_ans002ait;Uno ha cercato di aggredirmi ed io, le ho tirato un pugno e lui mi ha tagliato.;italian;negative; Uno ha cercato di accredirmi e io le ho tirato un pugno e lui mi ha tagliato.;negative;negative
m_ans003ait;Io stavo andando verso la mia macchina.;italian;negative; io stavo andando verso la mia macchina;negative;negative
m_ans003bit;Io dico: Non fumo. Lui dice: Ne anch'io. E allora.;italian;negative; Io dico non fumo e lui dice neanche io e allora...;negative;negative
m_ans003cit;Sento il cuore che si mette a dare mille perchè lì non c’è nessuno oltre a noi due.;italian;negative; Senta il cuore che si mette a darmi, perché lì non ce ne sono altre noi due.;positive;negative
m_ans007ait;Ah il rapinatore, lo so come funziona il tuo cervello, lo so.;italian;negative; Ah, il rapinatore! Lo so come funziona il tuo cervello! Lo so!;positive;negative
m_ans007bit;Io torno a casa tutto insanguinato la notte che Katty viene uccisa.;italian;negative; Io torno a casa, tutto insanguinato, la stessa notte che Cati viene uccisa.;negative;negative
m_ans007cit;E l’assassino sono io vero?;italian;negative; E l'assassino sono io, vero?;negative;negative
m_ans008ait;Io non mi fido più ne anche della mia mente, devo avvertirti.;italian;negative; Io non mi fido più neanche della mia mente. Devo avvertirsi.;negative;negative
m_ans011ait;Cazzo sta succedendo. Dove sono.;italian;negative; Ma che cazzo sta succedendo? Dove sono?;negative;negative
m_ans012ait;Dove diavolo siamo!;italian;negative; Ma dove diavolo siamo?;negative;negative
m_ans013ait;Non lo so.;italian;negative; Lo so! Sì!;positive;negative
m_ans014ait;Perché devo dirti il mio nome?;italian;negative; Perché devo dirti il mio nome?;negative;negative
m_ans014bit;Che cosa ci faccio qui.;italian;negative; E cosa ci faccio qui?;negative;negative
m_ans015ait;Non ricordo niente.;italian;negative; Non ricordo niente!;negative;negative
m_ans015bit;Sono andato al letto nel mio appartamento e mi risveglio in questo posto di merda.;italian;negative; Sono andato a letto nel mio appartamento e mi risveglio in questo posto di merda!;negative;negative
m_ans017ait;Non voglio rischiare di romperlo. Lanciami la cassetta.;italian;negative; Non voglio rischiare di romperlo. Lanciami la cassetta!;negative;negative
m_ans018ait;È solo solo un brutto scherzo, vero?;italian;negative; è solo un brutto scherzo vero?;negative;negative
m_ans020ait;Chi è?!;italian;negative; Chi è?;negative;negative
m_ans020bit;Chi sai?!;italian;negative; CHISSAL!;positive;negative
m_ans020cit;Fatti vedere!;italian;negative; Fatti vedere!;positive;positive
m_ans020dit;Ti ammazzo figlio di puttana!;italian;negative; Ti ammazzo figlio di puttana!;negative;negative
m_ans021ait;Chi è che parla?;italian;negative; Chi è che parla?;negative;negative
m_ans022ait;Piccola sono io. Ti sento.;italian;negative; Sì, piccola, sono io. Ti sento.;positive;positive
m_ans023ait;William io non pensavo di dover fare questo.;italian;negative; William, io non pensavo di dover fare questo.;negative;negative
m_ans024ait; hai svolto un incarico top secret per il governo.;italian;negative; Alicio, ho svolto un incarico top secret per il governo.;positive;positive
m_ans024bit;Esiste la minaccia di un disastro di proporzioni catastrofiche.;italian;negative; Esista la minaccia di un disastro di proporzioni catastrofiche.;negative;negative
m_ans030ait;Con tutto il rispetto, questo è assolutamente ridicolo. Non ha alcun senso!;italian;negative; Con tutto il rispetto questo è assolutamente ridicolo, non ha alcun senso.;negative;negative
m_ans100ait;Accendi la luce!;italian;negative; Accendi la luce!;positive;positive
m_ans101ait;Che cos'è questa puzza tremenda.;italian;negative; Che cos'è questa fuccia tremenda?;negative;negative
m_ans103ait;Ho bisogno di te.;italian;negative; Ho bisogno di te!;negative;negative
m_ans104ait;Ne abbemo paura che fossi morto.;italian;negative; Avevo paura che fossi morto!;negative;negative
m_ans105ait;Mi è successa la stessa cosa anche a me.;italian;negative; È successa la stessa cosa anche a me!;negative;negative
m_ans106ait;Sono stato colpito da scarice elettriche.;italian;negative; Sono stato colpito da scariche elettriche!;negative;negative
m_ans107ait;Aiuto!;italian;negative; AIUTO!;negative;negative
m_ans107bit;Qualcuno mi aiuti!;italian;negative; qualcuno mi aiuti!;negative;negative
m_ans112ait;Sì, si chiama Sed.;italian;negative; Si, si chiama Z;positive;negative
m_ans114ait;Che stà succedendo.;italian;negative; Che sta succedendo?;negative;negative
m_ans115ait;Eh, solo solo il greletto.;italian;negative; solo il grilletto;negative;negative
m_ans119ait;Era un lupo mannaro.;italian;negative; E non lo pamanerò.;negative;negative
m_ans120ait;Io non ho ucciso Katty.;italian;negative; Io non ho ucciso, che ti...;negative;negative
m_ans122ait;Lei stava seduta sopra il letto, e …;italian;negative; Lei stava seduta a spruilletto!;negative;negative
m_ans123ait;Dove sono, nei regno dei morti?;italian;negative; Sono nel regno dei morti!;negative;negative
m_ans124ait;Chi è!;italian;negative; Ghièèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèèè;negative;negative
m_ans124bit;Gli ho parlato.;italian;negative; Chi ha parlato?;negative;positive
m_dis001ait;Come quando si dice: Non è una rivolta, è rabbia.;italian;negative; Come quando si dice non è una rivolta, è rabbia!;negative;negative
m_dis002ait;Gardate questa insignificante squallida cosa.;italian;negative; Guardate questa insignificante squallida cosa.;negative;negative
m_dis002bit;Qualquno sa dirme in che somiglia alla foto?;italian;negative; Qualcuno sa dirmi in che somiglia la foto.;negative;negative
m_dis003ait;Aspetta la vediamo.;italian;negative; Aspetta, vediamo.;positive;positive
m_dis003bit;Quando ho compiuto sei anni il mio miglior amico di allora mi ha ferito con un chiodo arruginito.;italian;negative; Quando ho compiuto sei anni, il mio migliore amico di allora mi ha ferito con un chiodo arrugginito.;negative;negative
